Sum of median,Specie,,,,,,,,,,,,
Date,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind-gust,wind-speed,Grand Total
28/09/2020,3.2,7,77.5,13.4,11.5,13,34,1012.8,0.7,13.8,8.1,3.8,1198.8
29/09/2020,3.2,12,87.3,14.7,6.9,14,45,1014.5,0.7,15.5,5.5,3,1222.3
30/09/2020,2.8,11.5,89.6,11.7,12.3,13,31,1007.6,1.7,14.4,7.5,3.6,1206.7
01/10/2020,4.3,8,83.7,12.4,12.3,10,25,997.5,2.5,12.6,5.7,3,1177
02/10/2020,1.8,11,92.3,11.4,11.8,9,25,988.1,1.7,12.2,12.6,6,1182.9
03/10/2020,2.3,11,93,10,14.4,9,30,986.1,1.1,13.7,9.2,3.6,1183.4
04/10/2020,2,9,93,7,19.4,5,17,981.9,1.3,10,9.7,4.3,1159.6
05/10/2020,3.5,10,87,11,10.4,10,30,995,2.2,12.5,9.2,4.3,1185.1
06/10/2020,3,9.5,83.5,9.1,14.7,9,21,997,2.1,13,11.3,5.1,1178.3
07/10/2020,3.6,7.5,81,12.3,10,10,25,1013.1,1.5,12.2,8.6,4.5,1189.3
08/10/2020,2.7,12.5,88,10.1,12.4,9,25,1009.7,1.3,15,10.8,4.8,1201.3
09/10/2020,5.7,7,86.6,18.8,3.8,12,34,1018.2,2,10,7,2.6,1207.7
10/10/2020,6,6,83.2,12.4,9.8,9,23,1021.8,0.9,9.8,9.1,4.1,1195.1
11/10/2020,3.2,6,81.6,9.1,11.6,8,23,1024.6,0.6,10,6.3,3.8,1187.8
12/10/2020,5.3,6.5,90,18.6,4.2,12,38,1019.2,1.5,10.1,4.1,2.5,1212
13/10/2020,3.1,8.5,92.3,12.9,7.2,10,29,1009.7,1.3,9.5,7.3,3.4,1194.2
14/10/2020,2.9,7.5,87,10.3,13.2,11,30,1020.7,0.6,10,10.6,4,1207.8
15/10/2020,3.1,6,86.5,11,13,10,23,1023.9,0.3,9.4,10,4.1,1200.3
16/10/2020,3.3,6.5,85,14.8,9.5,11,30,1024.1,0.5,10.5,5.5,2.9,1203.6
17/10/2020,3,7,84,10.4,13.5,11,30,1022.2,0.6,10.2,5.7,2.5,1200.1
18/10/2020,5.3,7,84.5,16.2,3.6,16,54,1023,0.8,10.5,3,1.5,1225.4
19/10/2020,3.8,6.5,74.4,12.3,15.1,17,51,1016,3,12.3,11.2,4.8,1227.4
