Sum of median,Specie,,,,,,,,,,,,
Date,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind-gust,wind-speed,Grand Total
20/10/2020,3.2,11.5,82,8.4,16.9,19,46,1001.2,5.4,15.3,11.6,4.7,1225.2
21/10/2020,2.7,13.5,93,13.3,10.4,11,30,996.3,5,14.4,7.5,3.6,1200.7
22/10/2020,2,10,86.7,12.9,17.1,12,28,1007.9,3.8,13,8.4,4.6,1206.4
23/10/2020,2.4,11,87.3,12.8,15.2,12,26,1008,1.1,12.2,7.3,4.2,1199.5
24/10/2020,2.2,10.5,87,7.5,21.1,10,22,1003,1,13,12.1,6.1,1195.5
25/10/2020,2,7,88,9.3,18.8,8,21,996.2,1.4,10,6.7,3.4,1171.8
26/10/2020,2.2,6.5,84.1,13.3,15.5,12,29,996.8,1.4,9.5,7,3.8,1181.1
27/10/2020,2.4,8,89.5,11.7,14.8,11,26,998.5,1.2,10.1,7.6,3.8,1184.6
28/10/2020,2.4,6,83.6,11.1,17.8,12,28,1001.6,2.6,9.4,9.3,4.3,1188.1
29/10/2020,4.7,10.5,88,10.3,16.1,11,30,1012,1.9,13.3,10.4,5.2,1213.4
30/10/2020,3.2,13,87.8,9.8,20.1,10,25,1016,1.6,15,11.9,6.4,1219.8
31/10/2020,2.9,11,84.3,7.8,19,14,31,1011,0.7,13.8,13.8,6.4,1215.7
01/11/2020,2.8,12.5,85,5.4,17.6,15,30,1001.5,0.7,16.1,15,7.9,1209.5
02/11/2020,5.9,5.5,74.5,7.2,17.3,11,28,1004.5,1.4,14.1,17.5,9,1195.9
03/11/2020,6.4,4,80.2,15.4,13.7,13,30,1018,1,8.3,10.1,5.1,1205.2
04/11/2020,8.5,3.5,86.3,26.2,2.5,19,50,1033.5,2.6,6,3.3,2,1243.4
05/11/2020,14.5,5,93,28.4,1,38,91,1038.1,3.9,5.1,2.6,1.5,1322.1
06/11/2020,11.6,4.5,84,25.8,1.3,42,114,1028.7,3.6,8.4,6.2,3.6,1333.7
07/11/2020,9,9,88,20.8,1.1,31,78,1019.5,2.6,10.1,4.6,2.6,1276.3
08/11/2020,7.6,12,93,15.7,1,34,94,1017.5,2.9,13.7,3.4,1.8,1296.6
09/11/2020,5.3,12.5,93,17.2,2.6,16,52,1019,1.6,13.3,5,2.5,1240
10/11/2020,5.3,11,93,18,4,17,43,1023,0.6,12.4,5.1,2.5,1234.9
11/11/2020,5.1,9.5,88,11.2,10.4,14,30,1017.5,0.7,12.7,11.3,5.4,1215.8
12/11/2020,5.3,7,81.7,11.3,18.2,14,28,1013.9,1.1,11,10.4,5.2,1207.1
13/11/2020,4.7,7,82.8,16.3,12,17,31,1011.5,1.1,11,7.5,3.6,1205.5
14/11/2020,3.2,11,88,7.8,18.9,16,38,1006.7,0.9,13.8,12.6,6,1222.9
15/11/2020,3.2,6,83.9,5.8,24.3,10,24,994.6,1.2,11.7,13.6,6.6,1184.9
16/11/2020,5.2,7,81.1,10.3,18.6,12,27,1014.1,1.1,11.1,13.1,6.1,1206.7
17/11/2020,3.7,10,84.8,9.4,20.9,13,27,1020.1,0.7,13.3,11.7,6.1,1220.7
18/11/2020,3.7,9,81.8,9,16.7,17,32,1015.8,0.9,12.7,14.3,7.2,1220.1
19/11/2020,5.1,4,78.5,15,14.2,12,30,1027.1,0.9,8.8,12.9,6.5,1215
20/11/2020,7.2,7.5,90.7,20.1,7.5,13,36,1032.6,0.6,8.1,7.1,3.7,1234.1
21/11/2020,4.9,7.5,81,8.3,20.4,10,24,1025.5,0.5,11.6,14.1,6.3,1214.1
22/11/2020,5.3,4.5,82.5,15.1,10.4,10,26,1026.1,0.6,10,6.8,3.8,1201.1
23/11/2020,7.5,4.5,88,22.9,2.9,20,54,1026.5,1,8.8,5.1,2,1243.2
24/11/2020,4.7,7.5,85.1,12.1,14.9,14,34,1016.5,1.5,10.8,9.3,4.3,1214.7
25/11/2020,5.4,8,89.2,14.2,10.1,17,50,1011.4,1.8,10,6.2,3.2,1226.5
26/11/2020,8.2,4.5,88,23.6,3.5,22,55,1020.9,1.3,6.6,2.6,1.5,1237.7
27/11/2020,10.6,4,93.1,22.9,0.9,27,72,1018.4,2.2,3.8,2,1.3,1258.2
28/11/2020,9.7,8,93,21.8,0.9,37,100,1018.2,2.2,8.8,3.4,2.5,1305.5
29/11/2020,8,6.5,91.6,19.4,3.1,27,81,1026,1.3,7.7,3,1.8,1276.4
30/11/2020,9.5,6,90.4,14.8,2.2,19,55,1023.5,1.9,6.8,4.4,3,1236.5
01/12/2020,8.5,2,80.5,14.9,13.1,14,28,1025.2,0.6,5.7,7.5,4.3,1204.3
02/12/2020,11.3,2,88,24.7,1.8,21,55,1017.4,4.2,5.5,2.5,1.6,1235
03/12/2020,9.5,4,92,21.3,6.5,12,30,986.8,5.2,5,2.6,2,1176.9
04/12/2020,9.9,2,86.8,17.7,8.3,11,34,977,5.9,4,6.8,2.4,1165.8
05/12/2020,9.5,2,83.5,15.8,11.1,12,34,990,4,5,5.4,2.6,1174.9
06/12/2020,9.5,2,92,16,7.3,14,50,1001.5,2.1,3.3,3,1.8,1202.5
07/12/2020,10.6,2,95,22.2,2.3,17,57,998.9,3.4,1.6,1.6,1.2,1212.8
08/12/2020,12.7,2.5,93.2,24.3,1,22,66,1003.5,6.6,2.7,1.5,0.8,1236.8
09/12/2020,10.6,3,89.7,21.5,4.3,17,46,1005.7,3.5,5.4,4.4,2.5,1213.6
10/12/2020,9.4,5,89,14.7,8.8,17,42,1000,2.1,6.6,6.4,3.4,1204.4
11/12/2020,9,8,93.5,25.4,4,17,44,986.3,3.1,8.8,2.2,1.5,1202.8
12/12/2020,7.7,4,87.8,16.1,6.5,15,46,998.8,2.1,8.1,7.3,3.8,1203.2
13/12/2020,8.4,8,92.5,12.2,10.9,10,26,1003.8,1.4,7,8,3.6,1191.8
14/12/2020,7.1,8,90.7,12.4,19.8,13,30,999.7,1.8,10.1,8.4,3.6,1204.6
15/12/2020,7.4,7,91.4,17.1,13.7,15,31,1006,2.7,8.6,6,2.5,1208.4
16/12/2020,8.3,7,90,13,14.6,12,27,1007.5,1.7,8.8,7.4,3,1200.3
17/12/2020,7.9,7,88,14.1,14.4,13,27,1014.7,1.7,9.4,6.5,3,1206.7
18/12/2020,6.6,9,90,7,17.8,11,25,1010.5,1.2,11.1,12.3,4.8,1206.3
19/12/2020,3.2,6.5,86.6,7.8,20.3,12,30,1005,1.3,10.3,9.9,4.3,1197.2
20/12/2020,3,5,85.7,8.8,21.2,10,25,1012.1,1.1,7.9,7,3.8,1190.6
21/12/2020,3.2,8.5,92,8.9,16.7,7,19,1004.4,1.4,12.4,9,3.3,1185.8
22/12/2020,3.6,9,90,18.6,7.8,11,31,1011,1.3,11,5.6,2.5,1202.4
23/12/2020,8.1,9,93,14.2,13.5,9,23,1004.1,0.9,11.2,5.1,2,1193.1
24/12/2020,7.6,1,84,5.8,20.2,7,21,1022,0.4,4.4,12.5,4.8,1190.7
25/12/2020,9.5,-2,82.3,7.6,17.7,8,25,1030.1,0.2,2,5.2,2.7,1188.3
26/12/2020,7.4,5.5,87.2,6.1,19,7,19,1017.4,0.6,8.5,11,4.7,1193.4
27/12/2020,5.8,2,88,7.8,20,9,25,975,1.2,6.2,10.8,5.4,1156.2
28/12/2020,9.4,1,93,15.1,8.6,12,43,972.5,1.8,2.2,3.1,2,1163.7
29/12/2020,9,0.5,89,11.8,12,13,50,989.4,1.4,2.7,5,3.1,1186.9
30/12/2020,10.8,0.5,90.4,20.2,3.5,15,51,1002.4,2.1,1.9,3.8,2.2,1203.8
31/12/2020,10.6,-1,92,16.5,5.9,17,61,1005,1,0,3.7,2.5,1214.2
01/01/2021,10.6,0,92.6,13.4,6.4,20,68,1011,1.6,1.6,4.7,2.9,1232.8
02/01/2021,8.6,0,88.4,10.8,10.1,9,33,1015.5,0.7,3.3,5,2.8,1187.2
03/01/2021,9.5,1.5,90.5,7.7,11.4,9,34,1017,0.5,3.3,6.4,3.3,1194.1
Grand Total,590.3,652,8563.8,1361,1117,1395,3735,98972.6,171.2,918.4,743.4,364,118583.7
