Date,Country,City,Specie,count,min,max,median,variance
17/05/2020,GB,London,pm25,612,5,159,34,1934.76
20/05/2020,GB,London,pm25,618,2,81,36,1822.93
30/05/2020,GB,London,pm25,644,5,100,40,1548.11
02/07/2020,GB,London,pm25,601,3,60,24,1256.14
14/04/2020,GB,London,pm25,582,1,70,31,1179.29
08/05/2020,GB,London,pm25,587,17,111,57,2285.06
10/05/2020,GB,London,pm25,623,1,91,52,5900.78
08/06/2020,GB,London,pm25,596,6,72,30,1227.66
18/04/2020,GB,London,pm25,618,9,149,52,2752.06
02/05/2020,GB,London,pm25,588,2,98,23,1917.71
13/05/2020,GB,London,pm25,591,1,62,25,1141.63
25/04/2020,GB,London,pm25,646,13,102,45,1671.66
05/04/2020,GB,London,pm25,548,7,102,40,1804.3
11/04/2020,GB,London,pm25,633,16,124,69,4096.93
23/04/2020,GB,London,pm25,640,31,111,63,1659.02
28/05/2020,GB,London,pm25,618,3,78,30,1609.78
01/04/2020,GB,London,pm25,572,11,109,36,1736.46
05/05/2020,GB,London,pm25,593,1,64,25,916.22
18/05/2020,GB,London,pm25,620,2,173,30,1656.44
04/07/2020,GB,London,pm25,583,2,89,22,1800.48
27/04/2020,GB,London,pm25,616,10,120,57,2285.94
29/05/2020,GB,London,pm25,623,4,114,33,1627.18
13/06/2020,GB,London,pm25,585,1,109,33,2864.28
26/04/2020,GB,London,pm25,641,11,102,50,2011.56
23/06/2020,GB,London,pm25,591,5,158,40,1385.24
04/04/2020,GB,London,pm25,567,1,101,46,4344.78
17/04/2020,GB,London,pm25,621,5,114,38,2899.12
24/04/2020,GB,London,pm25,641,28,129,62,3344.95
11/05/2020,GB,London,pm25,605,1,62,21,1178.97
23/05/2020,GB,London,pm25,648,1,203,34,2663.1
01/06/2020,GB,London,pm25,650,5,70,34,1370.95
05/06/2020,GB,London,pm25,616,1,83,20,1101.59
06/06/2020,GB,London,pm25,627,1,60,23,1407.42
13/04/2020,GB,London,pm25,591,7,80,33,1591.06
19/04/2020,GB,London,pm25,603,9,84,41,1925.82
29/04/2020,GB,London,pm25,591,4,61,29,1137.3
26/06/2020,GB,London,pm25,564,7,130,53,2995.34
05/07/2020,GB,London,pm25,575,1,58,23,1570.73
12/06/2020,GB,London,pm25,568,10,114,61,3443.47
18/06/2020,GB,London,pm25,586,1,69,26,1697.32
21/06/2020,GB,London,pm25,616,1,61,25,1053.63
11/06/2020,GB,London,pm25,575,5,93,40,3781.86
07/05/2020,GB,London,pm25,619,17,93,56,1775.99
15/05/2020,GB,London,pm25,600,3,137,36,1561.21
10/06/2020,GB,London,pm25,593,1,86,42,1934.59
07/06/2020,GB,London,pm25,606,1,70,26,1124.6
15/06/2020,GB,London,pm25,600,5,64,31,1089.57
22/06/2020,GB,London,pm25,592,4,91,34,1109.48
20/04/2020,GB,London,pm25,633,9,70,41,1108.32
21/05/2020,GB,London,pm25,624,3,91,41,2323.92
31/05/2020,GB,London,pm25,656,4,68,34,1618.5
09/05/2020,GB,London,pm25,626,13,142,72,5354.95
24/05/2020,GB,London,pm25,651,5,116,38,1826.38
16/06/2020,GB,London,pm25,608,1,82,30,1800.46
19/06/2020,GB,London,pm25,607,5,167,29,1350.3
31/03/2020,GB,London,pm25,589,2,63,30,1522.26
12/04/2020,GB,London,pm25,609,13,107,61,3346.97
30/04/2020,GB,London,pm25,583,1,67,22,1164.63
22/05/2020,GB,London,pm25,664,8,109,41,2462.56
28/06/2020,GB,London,pm25,587,1,71,21,984.12
01/07/2020,GB,London,pm25,609,3,114,21,1355.17
03/04/2020,GB,London,pm25,557,2,104,31,2924.59
06/05/2020,GB,London,pm25,606,5,87,44,1668.27
16/05/2020,GB,London,pm25,609,5,98,30,1860.18
08/04/2020,GB,London,pm25,608,21,181,93,8042.1
22/04/2020,GB,London,pm25,637,33,76,54,738.51
12/05/2020,GB,London,pm25,591,5,68,26,1041.68
19/05/2020,GB,London,pm25,633,5,76,30,1205.17
25/06/2020,GB,London,pm25,585,9,87,57,1234.11
30/03/2020,GB,London,pm25,579,2,70,23,977.05
02/04/2020,GB,London,pm25,565,3,90,25,1253.87
06/04/2020,GB,London,pm25,559,5,179,32,1883.9
29/06/2020,GB,London,pm25,611,1,55,23,893.48
04/06/2020,GB,London,pm25,648,1,59,23,917.06
20/06/2020,GB,London,pm25,616,3,77,25,1103.09
27/06/2020,GB,London,pm25,580,1,59,25,1278.37
10/04/2020,GB,London,pm25,605,17,175,88,4707.75
16/04/2020,GB,London,pm25,623,14,181,97,5696.51
