pm25,co,dew,humidity,no2,o3,pm10,pressure,so2,temperature,wind-gust,wind-speed,year_month,Date
46,2.2,8.5,56,9.2,22.4,15,1034,0.4,19.5,5,2,May-20,25/05/2020
40,1.9,7.5,54,12.2,21.8,15,1035,0.6,20.5,6.9,3.1,May-20,26/05/2020
38,2.8,10,59,12.9,21.1,16,1035,0.6,18.6,6.6,2.8,May-20,27/05/2020
30,3.9,5,56,6.6,20.6,13,1033.8,1.7,15.5,12.2,5.6,May-20,28/05/2020
33,3.9,7.5,51.3,9.3,21.3,16,1027.7,2.3,16.2,11.6,5,May-20,29/05/2020
40,4,7,55.2,7.1,27.8,16,1023,2.2,17.8,11,5.1,May-20,30/05/2020
34,3.8,6.5,52.5,5.8,28.2,15,1022.5,2.6,17.6,13.1,6.4,May-20,31/05/2020
34,3.7,8,58.2,8.6,24.8,15,1022.2,2.3,18.6,10.3,4.6,Jun-20,01/06/2020
35,3.7,6.5,45.8,9.8,26,16,1018.9,2.5,19.6,7.9,4,Jun-20,02/06/2020
45,2.8,9.5,68.6,11.3,22.3,18,1007.8,2.5,16.1,9.2,3,Jun-20,03/06/2020
23,3.7,6.5,70.7,6.4,22,10,1002.9,2.7,12.7,13.6,5.4,Jun-20,04/06/2020
20,3.7,5,60.5,7,18.4,9,996.3,3.4,12.7,13.5,6.2,Jun-20,05/06/2020
23,2.8,7.5,72.7,6.4,16.5,9,998.1,3.5,10.7,12.2,5.6,Jun-20,06/06/2020
26,1.1,8.5,79.5,6.7,15.5,8,1008.4,3,12.5,8.5,4.2,Jun-20,07/06/2020
30,1.1,6,68,6.2,19.5,12,1018.6,1.8,12.5,10.5,4.5,Jun-20,08/06/2020
34,4.2,5.5,62.7,10.3,22.2,14,1019.7,1.7,15.1,6.6,2.6,Jun-20,09/06/2020
42,4.6,10,83.3,10.1,17.3,15,1015,2.5,13,6.2,3.8,Jun-20,10/06/2020
40,2.8,11,86.5,7.8,19.3,14,1011.1,1.9,14.1,12,5.7,Jun-20,11/06/2020
61,3.7,13,85,10.5,17.9,22,1004.8,1.9,16.6,13.7,6.5,Jun-20,12/06/2020
33,3.7,11.5,71.3,10.5,18.3,13,1008,1.8,18.3,9.8,5.7,Jun-20,13/06/2020
28,3.7,12,67,8.1,20.4,11,1013.5,1.8,18.6,7.8,3.8,Jun-20,14/06/2020
31,4.6,11,70.7,11.5,16,12,1015.5,2.2,18,5.2,2.8,Jun-20,15/06/2020
30,4.3,12,68.2,10.3,18.7,12,1013.7,1.5,19,6.2,3,Jun-20,16/06/2020
38,4,12,73.1,15.8,13.6,14,1012,1.7,17.8,4,2,Jun-20,17/06/2020
26,4.3,13.5,89,9.5,20.4,10,1009.4,1.7,15.5,6.8,3.2,Jun-20,18/06/2020
29,4.3,11,77.4,7.1,20.4,11,1013.5,1.7,15.9,10.5,5.6,Jun-20,19/06/2020
25,3.9,10.5,71.9,6.4,17.3,10,1018.8,1.2,17.6,9.1,4.3,Jun-20,20/06/2020
25,3.7,10.5,64.2,4.6,16.6,10,1015.4,1,17.5,11.5,5.5,Jun-20,21/06/2020
34,4.6,9,60,7.6,15.4,16,1023.4,1.5,18,8.6,4.3,Jun-20,22/06/2020
40,3.9,11,56.2,10.1,18.2,18,1022.9,1.7,21.6,7.7,4.1,Jun-20,23/06/2020
56,3.7,13,55.3,17.6,31.5,24,1019,2.1,23.7,9.5,4.5,Jun-20,24/06/2020
57,3.7,14,53,15.7,37.7,25,1014.9,2.1,25,10.2,5.2,Jun-20,25/06/2020
53,3.7,15,68,13.6,28.3,21,1007.9,1.6,21.5,8.5,3.9,Jun-20,26/06/2020
25,5,13,77,4.6,18.3,11,1004.1,1.1,17.1,13.8,7.7,Jun-20,27/06/2020
21,3.7,9,69.5,3.5,19.7,10,1008.8,1,15.6,12.4,7,Jun-20,28/06/2020
23,4.6,7,61.1,5.3,18.4,12,1008.7,1.5,16,14.5,7.9,Jun-20,29/06/2020
21,5.5,11.5,79.1,7.5,12.2,10,1006.3,1.9,16.2,7.7,4.1,Jun-20,30/06/2020
21,5.5,13,78.9,7.1,10.8,8,1004.4,1.8,17.1,9.6,4.6,Jul-20,01/07/2020
24,5,12.5,79.5,8.8,11.9,9,1009.9,1.5,16.2,8.6,4.1,Jul-20,02/07/2020
26,5,10.5,79,7,13.3,11,1015,1.4,15.9,11.7,6.6,Jul-20,03/07/2020
22,5.4,15,85.7,4.4,10.6,8,1010,1.2,17.7,11.6,6.3,Jul-20,04/07/2020
23,4.6,8,61,2.7,13.9,11,1010,0.9,18,17.7,8.4,Jul-20,05/07/2020
28,4.6,7,58,6.4,16,12,1019,0.9,16.2,12.8,6.4,Jul-20,06/07/2020
30,4.8,7.5,61,11.5,12.1,12,1019.7,1.8,15.5,6.5,3.3,Jul-20,07/07/2020
24,5.5,15.5,93,8.4,5,9,1014.1,1.6,16.9,5.8,2.4,Jul-20,08/07/2020
24,5.5,15,88.7,6.1,4.6,9,1011.2,1.7,17.2,7.8,4,Jul-20,09/07/2020
19,0.5,8,67,7.3,15.1,8,1017.5,0.6,15.1,10.9,5.4,Jul-20,10/07/2020
25,0.5,7,59.8,7.4,14.8,9,1026,0.8,16.3,7.4,4,Jul-20,11/07/2020
38,1.1,8,55.6,10.5,21.9,12,1027.5,0.4,18.8,4.6,1.8,Jul-20,12/07/2020
26,1,8,59.4,10.1,16.8,11,1023,0.8,20,7.7,4,Jul-20,13/07/2020
25,1.1,11.5,66.7,7.7,15.4,9,1015.9,1.2,17.7,9,4.1,Jul-20,14/07/2020
25,1,10.5,70.8,8.6,10.7,9,1015.6,1,17,7.7,4,Jul-20,15/07/2020
23,1.1,12.5,73.5,7.8,10.6,8,1019.6,0.8,18,9.5,4.6,Jul-20,16/07/2020
34,1.2,12.5,63,11.1,9.3,14,1020.1,0.9,21.8,7.9,3.3,Jul-20,17/07/2020
27,1,11.5,66.3,6.7,10.8,10,1018,1,19.7,8.2,4.1,Jul-20,18/07/2020
23,1.1,13,74.5,5.2,11.9,8,1017.4,1.1,17.5,7.2,3.7,Jul-20,19/07/2020
25,1,6.5,55.8,7,16.1,11,1022.5,0.6,17,8,3.3,Jul-20,20/07/2020
30,1,6,49.8,9.9,17.6,12,1025.3,0.4,18,7.4,3.5,Jul-20,21/07/2020
33,1,8,54.7,9.3,24.7,14,1023.5,0.9,19.3,7.1,3.6,Jul-20,22/07/2020
33,1,9,63,9.6,21.2,14,1016,2.1,19.5,7.5,4.2,Jul-20,23/07/2020
26,1.4,14,73.2,7.8,12,10,1012,2.3,19.7,7.4,3.6,Jul-20,24/07/2020
24,1.9,15,85.8,5.9,10.8,9,1007.5,2.1,17.8,8.6,4.3,Jul-20,25/07/2020
24,1.3,12.5,78.5,5.2,9.8,10,1010.8,1.9,17.2,8.1,3.5,Jul-20,26/07/2020
27,1.3,14,84.7,5.6,10.6,12,1006.9,2.2,17.6,11.1,5,Jul-20,27/07/2020
23,2.3,7.5,58.5,6.4,13.5,10,1013.8,2.2,16.9,11.8,5.6,Jul-20,28/07/2020
29,2.8,8,59,10.9,13.4,11,1019.4,2.5,18.6,5.8,3,Jul-20,29/07/2020
30,2.8,7.5,47,13,16.1,12,1018.4,2.5,21.8,5.7,2.5,Jul-20,30/07/2020
55,3.7,14,55.5,18.1,24.7,26,1011.2,3.3,24.8,8.5,4,Jul-20,31/07/2020
26,2.8,12.5,63.5,5.6,13.5,11,1014.5,2,21.3,9,3.7,Aug-20,01/08/2020
21,2.8,9.5,63.6,5.3,15.4,9,1016,1.7,18.8,8.1,3,Aug-20,02/08/2020
21,2.8,9,59,7.5,16.3,9,1015,1.5,18.1,7.8,3.5,Aug-20,03/08/2020
28,2.8,10,65.5,10.9,16.2,13,1015.9,2.7,18.2,7.4,2.4,Aug-20,04/08/2020
21,2.8,11,66.5,6.4,18.8,10,1012.5,1.9,20.2,10.1,4.1,Aug-20,05/08/2020
25,3.2,16,73.1,9.1,11.9,10,1016.7,1.5,22,5.2,2.8,Aug-20,06/08/2020
51,4,14,48.1,25.7,11.7,23,1017.8,1.7,26.5,5.7,1.5,Aug-20,07/08/2020
63,4,15.5,60,15.5,26,28,1018.6,1.6,24.6,8.8,3.6,Aug-20,08/08/2020
63,3.9,17,68.2,6.9,33.7,24,1017.4,1.6,24.1,10,3.6,Aug-20,09/08/2020
62,4,17.5,63,12.7,33,29,1013.9,1.4,24.7,8.6,3.3,Aug-20,10/08/2020
79,5,18,64.5,20.6,34.6,38,1014,1.2,26.5,4.3,1.8,Aug-20,11/08/2020
89,5,18,66.2,20.1,38.8,42,1013,4.4,25.4,6,3,Aug-20,12/08/2020
67,4.6,18,77.7,10.4,33.3,28,1011.9,5.3,22.3,8.3,3.1,Aug-20,13/08/2020
46,3.7,17,90.1,8.6,20.2,15,1013.3,5,18.4,6.5,2.9,Aug-20,14/08/2020
53,3.9,18,93.3,9.2,12.3,17,1014.2,5.1,18.3,4.3,2.3,Aug-20,15/08/2020
57,4,17.5,88,9.9,15.5,22,1010.5,5.7,19.5,3.4,1.7,Aug-20,16/08/2020
30,3.7,15,82.7,12.4,13.1,12,1007.5,5.3,18.8,5.2,2.6,Aug-20,17/08/2020
22,3.2,14.5,77,7.6,14,9,1008.5,5.5,19.5,8.1,4.1,Aug-20,18/08/2020
25,3.8,16.5,93,9.6,8.7,10,1003.5,3.1,18.8,7.5,4,Aug-20,19/08/2020
35,3.1,14,73,7.8,15.1,18,1002.8,1.4,20.5,9.2,4.8,Aug-20,20/08/2020
34,2.9,13.5,71.2,5,20.9,19,1003,1.7,20,15.8,8.2,Aug-20,21/08/2020
28,2.8,11.5,70.8,5,22.9,13,1011.6,0.9,18.3,12.9,6.7,Aug-20,22/08/2020
24,2.8,12,71.5,4.6,17.5,10,1016,0.8,17.5,11.3,5.7,Aug-20,23/08/2020
25,2.9,12,81.6,8.2,15.1,10,1015.1,1.4,16.8,7.5,4.1,Aug-20,24/08/2020
22,3.1,14,85,4.6,17.6,9,999.6,1.3,17.2,15.9,8.4,Aug-20,25/08/2020
25,3.7,11,65,7.2,19,10,1013.1,1.1,18,16.2,7,Aug-20,26/08/2020
29,3.2,13.5,84.4,11.2,11.6,13,1012,1.9,15.5,7.2,4,Aug-20,27/08/2020
21,3.1,12,87,8.6,12.5,9,1000.5,2.3,14.3,8,3.8,Aug-20,28/08/2020
24,2.8,10,86,4.8,19.1,9,1008.3,1.1,12.7,18.8,9.7,Aug-20,29/08/2020
25,2.5,8,71.5,4.2,22.5,12,1016.7,0.9,14,12.4,4.6,Aug-20,30/08/2020
25,2.7,7.5,71,9.6,15.2,10,1021.1,1,13.4,3.2,2,Aug-20,31/08/2020
47,6,8,69.5,19.2,10.2,16,1020.2,1.5,15.8,4,2,Sep-20,01/09/2020
39,1.3,10,82,16.6,19.1,15,1018.6,1.5,15.6,6.5,3,Sep-20,02/09/2020
31,1.1,15,84.5,8.3,14.3,12,1014.8,1.3,18,8.8,4.6,Sep-20,03/09/2020
30,1.1,10.5,74.3,10.1,13.5,14,1020,1.4,16.1,5.6,3.3,Sep-20,04/09/2020
34,1.1,7.5,70.8,9.7,10.9,13,1020.4,1.3,14.6,8,3.8,Sep-20,05/09/2020
35,1.3,9,73.8,11.1,10.1,12,1020.2,1.1,15.3,5.8,3,Sep-20,06/09/2020
37,1.6,11.5,81.5,13.4,10.2,12,1022.6,1.1,16.7,7.6,3.2,Sep-20,07/09/2020
26,0.7,16,82.2,9.1,11.3,10,1023.5,1.1,19.4,7.1,3.3,Sep-20,08/09/2020
28,0.7,14,77.4,9.9,10.8,12,1022.4,1.4,18,8.4,4.1,Sep-20,09/09/2020
35,1.5,6.5,63,13.5,13.3,15,1023.6,1.1,15,4.6,2,Sep-20,10/09/2020
42,2.7,8,68.7,17.5,10.4,17,1016.8,1.9,15,6.6,3.5,Sep-20,11/09/2020
30,1.8,10,72.4,8.3,15.4,11,1019.3,0.7,16.5,8.3,3.8,Sep-20,12/09/2020
30,1.3,12,76.2,8.4,13.2,11,1023,0.5,17.7,6.3,3.1,Sep-20,13/09/2020
46,2.2,13,73.6,20.6,11.4,19,1021.5,1.1,19.2,5.2,2.5,Sep-20,14/09/2020
82,2.2,16,72.3,26,14,40,1017.4,0.9,22.5,4.6,2.2,Sep-20,15/09/2020
61,0.3,13,73.3,11.6,25.4,26,1023.2,0.6,20.2,10.8,5,Sep-20,16/09/2020
29,2,9.5,72,7.8,19.7,17,1028.1,0.7,15.4,12.8,5.7,Sep-20,17/09/2020
30,1,9,75.2,9.6,17.9,17,1022.5,0.6,15.9,13.1,6.1,Sep-20,18/09/2020
34,1.1,10,69.5,7.8,21.6,19,1017,0.6,17.2,12.6,6,Sep-20,19/09/2020
39,1.1,11,72.1,6.8,22.6,20,1018,0.5,17.5,10.6,4.6,Sep-20,20/09/2020
55,2.7,11.5,82,16.5,15.9,22,1017.6,1.2,15.5,4.2,1.8,Sep-20,21/09/2020
59,3.1,11,76.1,20.9,21.1,24,1009.5,1.8,17.7,6.6,3.5,Sep-20,22/09/2020
34,1.6,13,85.6,10.3,20.6,12,1000,1.8,16.2,8.7,4.2,Sep-20,23/09/2020
21,2.5,7,82.6,12.2,13.2,9,995.6,2.4,11,7.9,3.5,Sep-20,24/09/2020
24,2,5,71,8,15.5,9,1001.5,0.7,10.8,16.9,8.2,Sep-20,25/09/2020
21,2.4,4,71,5.7,17.9,9,1010.2,0.3,10.6,18.8,9.4,Sep-20,26/09/2020
25,1.9,7.5,75.9,4.8,20.9,10,1011.7,0.3,11.6,14.3,6.3,Sep-20,27/09/2020
34,3.2,7,77.5,13.4,11.5,13,1012.8,0.7,13.8,8.1,3.8,Sep-20,28/09/2020
45,3.2,12,87.3,14.7,6.9,14,1014.5,0.7,15.5,5.5,3,Sep-20,29/09/2020
31,2.8,11.5,89.6,11.7,12.3,13,1007.6,1.7,14.4,7.5,3.6,Sep-20,30/09/2020
25,4.3,8,83.7,12.4,12.3,10,997.5,2.5,12.6,5.7,3,Oct-20,01/10/2020
25,1.8,11,92.3,11.4,11.8,9,988.1,1.7,12.2,12.6,6,Oct-20,02/10/2020
30,2.3,11,93,10,14.4,9,986.1,1.1,13.7,9.2,3.6,Oct-20,03/10/2020
17,2,9,93,7,19.4,5,981.9,1.3,10,9.7,4.3,Oct-20,04/10/2020
30,3.5,10,87,11,10.4,10,995,2.2,12.5,9.2,4.3,Oct-20,05/10/2020
21,3,9.5,83.5,9.1,14.7,9,997,2.1,13,11.3,5.1,Oct-20,06/10/2020
25,3.6,7.5,81,12.3,10,10,1013.1,1.5,12.2,8.6,4.5,Oct-20,07/10/2020
25,2.7,12.5,88,10.1,12.4,9,1009.7,1.3,15,10.8,4.8,Oct-20,08/10/2020
34,5.7,7,86.6,18.8,3.8,12,1018.2,2,10,7,2.6,Oct-20,09/10/2020
23,6,6,83.2,12.4,9.8,9,1021.8,0.9,9.8,9.1,4.1,Oct-20,10/10/2020
23,3.2,6,81.6,9.1,11.6,8,1024.6,0.6,10,6.3,3.8,Oct-20,11/10/2020
38,5.3,6.5,90,18.6,4.2,12,1019.2,1.5,10.1,4.1,2.5,Oct-20,12/10/2020
29,3.1,8.5,92.3,12.9,7.2,10,1009.7,1.3,9.5,7.3,3.4,Oct-20,13/10/2020
30,2.9,7.5,87,10.3,13.2,11,1020.7,0.6,10,10.6,4,Oct-20,14/10/2020
23,3.1,6,86.5,11,13,10,1023.9,0.3,9.4,10,4.1,Oct-20,15/10/2020
30,3.3,6.5,85,14.8,9.5,11,1024.1,0.5,10.5,5.5,2.9,Oct-20,16/10/2020
30,3,7,84,10.4,13.5,11,1022.2,0.6,10.2,5.7,2.5,Oct-20,17/10/2020
54,5.3,7,84.5,16.2,3.6,16,1023,0.8,10.5,3,1.5,Oct-20,18/10/2020
51,3.8,6.5,74.4,12.3,15.1,17,1016,3,12.3,11.2,4.8,Oct-20,19/10/2020
46,3.2,11.5,82,8.4,16.9,19,1001.2,5.4,15.3,11.6,4.7,Oct-20,20/10/2020
30,2.7,13.5,93,13.3,10.4,11,996.3,5,14.4,7.5,3.6,Oct-20,21/10/2020
28,2,10,86.7,12.9,17.1,12,1007.9,3.8,13,8.4,4.6,Oct-20,22/10/2020
26,2.4,11,87.3,12.8,15.2,12,1008,1.1,12.2,7.3,4.2,Oct-20,23/10/2020
22,2.2,10.5,87,7.5,21.1,10,1003,1,13,12.1,6.1,Oct-20,24/10/2020
21,2,7,88,9.3,18.8,8,996.2,1.4,10,6.7,3.4,Oct-20,25/10/2020
29,2.2,6.5,84.1,13.3,15.5,12,996.8,1.4,9.5,7,3.8,Oct-20,26/10/2020
26,2.4,8,89.5,11.7,14.8,11,998.5,1.2,10.1,7.6,3.8,Oct-20,27/10/2020
28,2.4,6,83.6,11.1,17.8,12,1001.6,2.6,9.4,9.3,4.3,Oct-20,28/10/2020
30,4.7,10.5,88,10.3,16.1,11,1012,1.9,13.3,10.4,5.2,Oct-20,29/10/2020
25,3.2,13,87.8,9.8,20.1,10,1016,1.6,15,11.9,6.4,Oct-20,30/10/2020
31,2.9,11,84.3,7.8,19,14,1011,0.7,13.8,13.8,6.4,Oct-20,31/10/2020
30,2.8,12.5,85,5.4,17.6,15,1001.5,0.7,16.1,15,7.9,Nov-20,01/11/2020
28,5.9,5.5,74.5,7.2,17.3,11,1004.5,1.4,14.1,17.5,9,Nov-20,02/11/2020
30,6.4,4,80.2,15.4,13.7,13,1018,1,8.3,10.1,5.1,Nov-20,03/11/2020
50,8.5,3.5,86.3,26.2,2.5,19,1033.5,2.6,6,3.3,2,Nov-20,04/11/2020
91,14.5,5,93,28.4,1,38,1038.1,3.9,5.1,2.6,1.5,Nov-20,05/11/2020
114,11.6,4.5,84,25.8,1.3,42,1028.7,3.6,8.4,6.2,3.6,Nov-20,06/11/2020
78,9,9,88,20.8,1.1,31,1019.5,2.6,10.1,4.6,2.6,Nov-20,07/11/2020
94,7.6,12,93,15.7,1,34,1017.5,2.9,13.7,3.4,1.8,Nov-20,08/11/2020
52,5.3,12.5,93,17.2,2.6,16,1019,1.6,13.3,5,2.5,Nov-20,09/11/2020
43,5.3,11,93,18,4,17,1023,0.6,12.4,5.1,2.5,Nov-20,10/11/2020
30,5.1,9.5,88,11.2,10.4,14,1017.5,0.7,12.7,11.3,5.4,Nov-20,11/11/2020
28,5.3,7,81.7,11.3,18.2,14,1013.9,1.1,11,10.4,5.2,Nov-20,12/11/2020
31,4.7,7,82.8,16.3,12,17,1011.5,1.1,11,7.5,3.6,Nov-20,13/11/2020
38,3.2,11,88,7.8,18.9,16,1006.7,0.9,13.8,12.6,6,Nov-20,14/11/2020
24,3.2,6,83.9,5.8,24.3,10,994.6,1.2,11.7,13.6,6.6,Nov-20,15/11/2020
27,5.2,7,81.1,10.3,18.6,12,1014.1,1.1,11.1,13.1,6.1,Nov-20,16/11/2020
27,3.7,10,84.8,9.4,20.9,13,1020.1,0.7,13.3,11.7,6.1,Nov-20,17/11/2020
32,3.7,9,81.8,9,16.7,17,1015.8,0.9,12.7,14.3,7.2,Nov-20,18/11/2020
30,5.1,4,78.5,15,14.2,12,1027.1,0.9,8.8,12.9,6.5,Nov-20,19/11/2020
36,7.2,7.5,90.7,20.1,7.5,13,1032.6,0.6,8.1,7.1,3.7,Nov-20,20/11/2020
24,4.9,7.5,81,8.3,20.4,10,1025.5,0.5,11.6,14.1,6.3,Nov-20,21/11/2020
26,5.3,4.5,82.5,15.1,10.4,10,1026.1,0.6,10,6.8,3.8,Nov-20,22/11/2020
54,7.5,4.5,88,22.9,2.9,20,1026.5,1,8.8,5.1,2,Nov-20,23/11/2020
34,4.7,7.5,85.1,12.1,14.9,14,1016.5,1.5,10.8,9.3,4.3,Nov-20,24/11/2020
50,5.4,8,89.2,14.2,10.1,17,1011.4,1.8,10,6.2,3.2,Nov-20,25/11/2020
55,8.2,4.5,88,23.6,3.5,22,1020.9,1.3,6.6,2.6,1.5,Nov-20,26/11/2020
72,10.6,4,93.1,22.9,0.9,27,1018.4,2.2,3.8,2,1.3,Nov-20,27/11/2020
100,9.7,8,93,21.8,0.9,37,1018.2,2.2,8.8,3.4,2.5,Nov-20,28/11/2020
81,8,6.5,91.6,19.4,3.1,27,1026,1.3,7.7,3,1.8,Nov-20,29/11/2020
55,9.5,6,90.4,14.8,2.2,19,1023.5,1.9,6.8,4.4,3,Nov-20,30/11/2020
28,8.5,2,80.5,14.9,13.1,14,1025.2,0.6,5.7,7.5,4.3,Dec-20,01/12/2020
55,11.3,2,88,24.7,1.8,21,1017.4,4.2,5.5,2.5,1.6,Dec-20,02/12/2020
30,9.5,4,92,21.3,6.5,12,986.8,5.2,5,2.6,2,Dec-20,03/12/2020
34,9.9,2,86.8,17.7,8.3,11,977,5.9,4,6.8,2.4,Dec-20,04/12/2020
34,9.5,2,83.5,15.8,11.1,12,990,4,5,5.4,2.6,Dec-20,05/12/2020
50,9.5,2,92,16,7.3,14,1001.5,2.1,3.3,3,1.8,Dec-20,06/12/2020
57,10.6,2,95,22.2,2.3,17,998.9,3.4,1.6,1.6,1.2,Dec-20,07/12/2020
66,12.7,2.5,93.2,24.3,1,22,1003.5,6.6,2.7,1.5,0.8,Dec-20,08/12/2020
46,10.6,3,89.7,21.5,4.3,17,1005.7,3.5,5.4,4.4,2.5,Dec-20,09/12/2020
42,9.4,5,89,14.7,8.8,17,1000,2.1,6.6,6.4,3.4,Dec-20,10/12/2020
44,9,8,93.5,25.4,4,17,986.3,3.1,8.8,2.2,1.5,Dec-20,11/12/2020
46,7.7,4,87.8,16.1,6.5,15,998.8,2.1,8.1,7.3,3.8,Dec-20,12/12/2020
26,8.4,8,92.5,12.2,10.9,10,1003.8,1.4,7,8,3.6,Dec-20,13/12/2020
30,7.1,8,90.7,12.4,19.8,13,999.7,1.8,10.1,8.4,3.6,Dec-20,14/12/2020
31,7.4,7,91.4,17.1,13.7,15,1006,2.7,8.6,6,2.5,Dec-20,15/12/2020
27,8.3,7,90,13,14.6,12,1007.5,1.7,8.8,7.4,3,Dec-20,16/12/2020
27,7.9,7,88,14.1,14.4,13,1014.7,1.7,9.4,6.5,3,Dec-20,17/12/2020
25,6.6,9,90,7,17.8,11,1010.5,1.2,11.1,12.3,4.8,Dec-20,18/12/2020
30,3.2,6.5,86.6,7.8,20.3,12,1005,1.3,10.3,9.9,4.3,Dec-20,19/12/2020
25,3,5,85.7,8.8,21.2,10,1012.1,1.1,7.9,7,3.8,Dec-20,20/12/2020
19,3.2,8.5,92,8.9,16.7,7,1004.4,1.4,12.4,9,3.3,Dec-20,21/12/2020
31,3.6,9,90,18.6,7.8,11,1011,1.3,11,5.6,2.5,Dec-20,22/12/2020
23,8.1,9,93,14.2,13.5,9,1004.1,0.9,11.2,5.1,2,Dec-20,23/12/2020
21,7.6,1,84,5.8,20.2,7,1022,0.4,4.4,12.5,4.8,Dec-20,24/12/2020
25,9.5,-2,82.3,7.6,17.7,8,1030.1,0.2,2,5.2,2.7,Dec-20,25/12/2020
19,7.4,5.5,87.2,6.1,19,7,1017.4,0.6,8.5,11,4.7,Dec-20,26/12/2020
25,5.8,2,88,7.8,20,9,975,1.2,6.2,10.8,5.4,Dec-20,27/12/2020
43,9.4,1,93,15.1,8.6,12,972.5,1.8,2.2,3.1,2,Dec-20,28/12/2020
50,9,0.5,89,11.8,12,13,989.4,1.4,2.7,5,3.1,Dec-20,29/12/2020
51,10.8,0.5,90.4,20.2,3.5,15,1002.4,2.1,1.9,3.8,2.2,Dec-20,30/12/2020
61,10.6,-1,92,16.5,5.9,17,1005,1,0,3.7,2.5,Dec-20,31/12/2020
68,10.6,0,92.6,13.4,6.4,20,1011,1.6,1.6,4.7,2.9,Jan-21,01/01/2021
33,8.6,0,88.4,10.8,10.1,9,1015.5,0.7,3.3,5,2.8,Jan-21,02/01/2021
34,9.5,1.5,90.5,7.7,11.4,9,1017,0.5,3.3,6.4,3.3,Jan-21,03/01/2021
21,9.5,1,88.2,6.7,15.3,7,1019,0.5,3.5,12,4.5,Jan-21,04/01/2021
21,9.5,1,88.2,8.2,12.4,8,1019.5,0.6,3.3,10.6,3.6,Jan-21,05/01/2021
25,9.5,2,89.4,11.7,8.6,9,1019,0.6,3.3,7.3,3,Jan-21,06/01/2021
59,10.6,-1,91,20.2,3.3,19,1018,1.4,0.7,4.2,2.6,Jan-21,07/01/2021
72,11.9,-1,92.4,18.6,2.5,20,1017.8,1.1,0,2.6,1.8,Jan-21,08/01/2021
59,11.1,-1,93,19.7,5.6,17,1026.3,1.1,0.5,3,1.5,Jan-21,09/01/2021
61,12,-1,94,16.2,6.3,17,1025.2,1.3,1.3,4.3,2.8,Jan-21,10/01/2021
29,10,4,86.6,11.7,15.9,10,1016.9,1.8,7.6,9.1,4.4,Jan-21,11/01/2021
25,7.2,5,90.3,16,16,7,1013.6,1.4,7,7.3,3.7,Jan-21,12/01/2021
51,11.6,5,94,23.4,2.3,16,1017.7,2.7,6,2.9,2,Jan-21,13/01/2021
25,8.9,3.5,94,15.7,11.3,7,1015.5,1.7,4.4,6.5,3.4,Jan-21,14/01/2021
57,11.4,0,92.4,21,3.6,19,1030,1.9,1.3,3.8,1.8,Jan-21,15/01/2021
38,11.7,4,90,14.3,9.6,11,1017.9,2.7,5.7,6.8,3.3,Jan-21,16/01/2021
30,9.6,2,82.5,10.9,16.3,13,1024.2,2.1,5.7,5.6,3.6,Jan-21,17/01/2021
30,10.8,3.5,89.4,15.9,12.9,13,1021.6,2.9,6.1,5,2.2,Jan-21,18/01/2021
17,7.8,8,88.9,7,23,7,1004.6,3.7,10.5,12,4,Jan-21,19/01/2021
25,7.1,7,90.4,6.4,23.4,9,988.5,3.2,9.9,13.3,5,Jan-21,20/01/2021
25,6.8,2,80,10.7,20.6,10,985,2,6,8.7,3.4,Jan-21,21/01/2021
34,10.4,1,86.2,18.5,10.9,12,992.8,1.8,4,3.4,1.6,Jan-21,22/01/2021
38,9.7,0,89,18.6,10.9,12,994.7,1.2,1.9,3,2,Jan-21,23/01/2021
46,10.6,-1,92,20.2,8.2,12,996.6,1.5,0.5,2.8,2.5,Jan-21,24/01/2021
45,10.4,-1.5,85.5,22.5,10,13,1009.9,2.3,1.1,4.8,1.8,Jan-21,25/01/2021
38,4.6,2.5,89,19.3,11.8,11,1016.4,1.1,4.3,3.6,2,Jan-21,26/01/2021
42,8.5,7,94,20.3,6.5,13,1010.8,2.2,8.5,2.1,1,Jan-21,27/01/2021
28,6.8,9,92.6,13.2,13,10,1001.1,1.4,10.6,6.3,2.2,Jan-21,28/01/2021
27,6.8,6.5,88.5,12.4,16.3,11,996.9,1.4,9.1,6.8,2.7,Jan-21,29/01/2021
28,8.5,3,92,9.5,12.5,9,997.2,1.3,4.4,10.6,3.3,Jan-21,30/01/2021
38,10.6,-0.5,85.7,12.1,9.5,13,998.4,2.2,2.7,4.7,2,Jan-21,31/01/2021
56,9.5,2,91.8,13.9,6.7,16,998,1.5,3.8,3.8,2,Feb-21,01/02/2021
44,7.7,6.5,89.8,11.4,15,16,994,0.6,10.4,7.3,2.6,Feb-21,02/02/2021
34,9.5,5.5,85.7,16.8,13.1,16,994.5,0.7,8.4,4,2.2,Feb-21,03/02/2021
34,8.5,6.5,93,17.3,10.6,14,1008,0.8,7.5,3.3,1.8,Feb-21,04/02/2021
29,8.5,5.5,90.6,15.4,15.2,11,1008.1,0.7,7.5,3.1,1.8,Feb-21,05/02/2021
41,8.2,5,92,13.3,9.2,12,1006.6,0.7,6.1,3.5,1.8,Feb-21,06/02/2021
30,9.5,-1,87.2,4.4,26.4,12,1003.9,0.6,1,12.2,5.1,Feb-21,07/02/2021
30,11.4,-4.5,86.1,8,23.6,9,1003,0.6,-1.6,10.6,3.6,Feb-21,08/02/2021
