Sum of median,Specie,,,,,,,,,,,,
Date,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind-gust,wind-speed,Grand Total
21/06/2019,6.4,8.5,58.4,13.8,14.2,11,28,1019.3,1.6,18,5.4,2.6,1187.2
22/06/2019,7.3,10,53.5,12.1,15.5,12,32,1021,1.6,17.7,8.7,4.1,1195.5
23/06/2019,5.7,15,72,12.4,19.9,23,61,1017,1.3,19.3,6.7,3.4,1256.7
24/06/2019,7.3,16,72.3,19.2,11.5,26,59,1015.3,1.5,22,4.3,1.8,1256.2
25/06/2019,6.4,17.5,82,14.4,12.2,20,57,1018,0.5,19.8,5.2,2.5,1255.5
26/06/2019,3.8,14,79.7,6.5,23,13,38,1027.5,0.5,16.7,11,4.2,1237.9
27/06/2019,3.7,12,70.7,7.4,20.9,15,31,1028.3,0.8,16.6,14,6.5,1226.9
28/06/2019,4.3,13,71.2,9.8,17.1,21,42,1024.7,1.4,17.5,15.8,7.2,1245
29/06/2019,4.6,15.5,57.5,15.9,16.4,25,57,1015.5,2.2,25.8,8.1,3.5,1247
30/06/2019,3.7,12.5,60,6.4,18,11,30,1016,1.3,21.7,14.1,6.6,1201.3
Grand Total,597.1,702,6073.7,1278.3,1463.3,1627,4069,91366.4,126.8,1227.4,542.2,233.6,109306.8
